Facilita nel trovare il S.O.,M,F,18-36,37-51,52+,Totale,Sorgente
Facilmente,50.5,63.6,60.5,63.0,44.5,58.3,Iscrizione scuola infanzia
Con qualche difficoltà,43.6,32.4,35.5,34.3,22.2,36.8,Iscrizione scuola infanzia
Con molte difficoltà,4.5,2.5,3.0,2.2,11.1,3.4,Iscrizione scuola infanzia
Sono riuscito a fare solo laccesso,1.4,1.5,1.0,0.5,22.2,1.5,Iscrizione scuola infanzia
Facilmente,49.5,48.0,33.3,55.3,47.2,46.6,Sportello edilizia
Con qualche difficoltà,43.5,50.0,63.0,42.3,41.7,46.6,Sportello edilizia
Con molte difficoltà,6.1,2.0,3.7,2.4,8.3,6.3,Sportello edilizia
Sono riuscito a fare solo laccesso,0.9,0.0,0.0,0.0,2.8,0.5,Sportello edilizia
Facilmente,59.6,59.6,61.9,61.2,66.7,60.3,Contributo scuola
Con qualche difficoltà,38.4,39.4,38.1,37.8,33.3,38.4,Contributo scuola
Con molte difficoltà,2.0,1.0,0.0,1.0,0.0,1.3,Contributo scuola
Sono riuscito a fare solo laccesso,0.0,0.0,0.0,0.0,0.0,0.0,Contributo scuola
Facilmente,52.6,53.4,48.5,55.0,50.9,51.7,Dichiarazione-tari
Con qualche difficoltà,39.5,33.6,37.9,32.5,40.2,37.0,Dichiarazione-tari
Con molte difficoltà,6.0,7.9,12.1,7.8,5.1,7.5,Dichiarazione-tari
Sono riuscito a fare solo laccesso,1.9,5.1,1.5,4.7,3.8,3.8,Dichiarazione-tari
Facilmente,57.9,60.0,53.3,68.2,61.3,58.4,Appuntamento edi urb
Con qualche difficoltà,37.7,33.3,46.7,25.4,38.7,36.2,Appuntamento edi urb
Con molte difficoltà,4.4,6.7,0.0,6.4,0.0,5.4,Appuntamento edi urb
Sono riuscito a fare solo laccesso,0.0,0.0,0.0,0.0,0.0,0.0,Appuntamento edi urb
Facilmente,56.4,61.1,60.5,61.7,25.0,59.2,Iscrizione asili nido
Con qualche difficoltà,35.7,36.1,36.2,33.9,37.5,36.5,Iscrizione asili nido
Con molte difficoltà,6.9,2.4,3.0,4.1,25.0,3.8,Iscrizione asili nido
Sono riuscito a fare solo laccesso,1.0,0.4,0.3,0.3,12.5,0.5,Iscrizione asili nido
Facilmente,53.8,64.4,65.2,60.5,44.2,60.3,Agevolazione tariffaria
Con qualche difficoltà,39.7,31.8,31.2,35.1,32.6,34.8,Agevolazione tariffaria
Con molte difficoltà,4.9,1.9,1.5,3.7,7.7,3.2,Agevolazione tariffaria
Sono riuscito a fare solo laccesso,1.6,1.9,2.1,0.7,15.5,1.7,Agevolazione tariffaria
